ID,Epic,User Story,Acceptance Criteria,Module,Priority,Status,Testable,source_file
US-WL-014,Watchlist Import,"As a Bot, I want to refresh the list in real-time after manual additions so that changes appear immediately.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-015,Watchlist Import,"As a System, I want to save the updated watchlist in SQLite database so that persistence is ensured.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-016,Watchlist Import,"As a Bot, I want to validate ticker data from API before final inclusion so that the list contains only tradable items.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-017,Watchlist Import,"As a System, I want to keep a backup copy of the last 3 imported lists so that we can recover from mistakes.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-018,Watchlist Import,"As a Bot, I want to log the time and user associated with each manual entry so that we can audit changes.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-019,Watchlist Import,"As a Trader, I want to upload a modified watchlist from another platform so that I can sync external tracking.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-WL-020,Watchlist Import,"As a Bot, I want to send a Telegram alert when new tickers are imported successfully so that I’m informed of watchlist changes.","- [ ] Watchlist parsed or updated
- [ ] Tickers merged/stored
- [ ] Errors logged
- [ ] Provenance saved",manual_import.py,High,To Do,Yes,USER_STORIES_WATCHLIST_IMPORT.xlsx
US-TRACKER-001,UI Project Tracker,"As a Trader, I want to see a list of all user stories and their statuses in the UI so that I can follow project progress.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-002,UI Project Tracker,"As a UI User, I want to filter user stories by epic or module so that I can focus on one area at a time.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-003,UI Project Tracker,"As a System, I want to store all user stories and acceptance criteria in a SQLite table so that I can query and update them.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-004,UI Project Tracker,"As a Bot, I want to auto-update the status of a story when its linked feature is triggered so that the tracker reflects live usage.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-005,UI Project Tracker,"As a Trader, I want to mark a user story as 'Done' when validated from the UI so that I confirm completion.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-006,UI Project Tracker,"As a UI User, I want to see a burndown chart based on story status so that I visualize remaining work.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-007,UI Project Tracker,"As a Tester, I want to associate a test case result with each user story so that I know what passed or failed.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-008,UI Project Tracker,"As a Project Owner, I want to see the priority of each story with color indicators so that I focus on urgent ones.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-009,UI Project Tracker,"As a UI User, I want to export the full tracker as Excel or CSV so that I can archive or report progress.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-010,UI Project Tracker,"As a System, I want to display stats on total, in progress, done, and blocked stories so that project health is visible.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-011,UI Project Tracker,"As a UI User, I want to click on a story to see full details including epic, module, and criteria so that I understand its scope.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-012,UI Project Tracker,"As a Bot, I want to load stories at startup and reflect their status in the interface so that the app is aligned with current progress.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-013,UI Project Tracker,"As a Project Owner, I want to lock story editing for certain roles so that integrity is maintained.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-014,UI Project Tracker,"As a Tester, I want to launch test scenarios linked to each story from the UI so that I validate directly.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-015,UI Project Tracker,"As a UI User, I want to create or modify a user story from the interface so that I iterate without code.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-016,UI Project Tracker,"As a System, I want to flag user stories missing test results so that test coverage is complete.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-017,UI Project Tracker,"As a Project Owner, I want to group stories by epic in collapsible sections so that navigation is easier.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-018,UI Project Tracker,"As a UI User, I want to switch views: table mode, kanban, burndown so that I choose the most useful layout.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-019,UI Project Tracker,"As a System, I want to log all changes to the tracker in an audit log so that history is preserved.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-TRACKER-020,UI Project Tracker,"As a Project Owner, I want to tag stories as 'Regression Risk' based on feature dependencies so that I plan retests properly.","- [ ] Story displayed and editable
- [ ] Status shown
- [ ] Linked to module and epic
- [ ] Testable from UI",tracker_ui.py,High,To Do,Yes,USER_STORIES_UI_PROJECT_TRACKER.xlsx
US-EXEC-001,Trade Execution,"As a Bot, I want to execute a buy order via Moomoo using pyautogui when all criteria are met so that the trade is launched automatically.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-002,Trade Execution,"As a Trader, I want to manually trigger a buy or sell from the Streamlit interface so that I can act based on visual analysis.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-003,Trade Execution,"As a System, I want to log every executed order with timestamp, ticker, price, and quantity so that we maintain traceability.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-004,Trade Execution,"As a Bot, I want to simulate a trade execution with PnL, fees, and slippage so that the strategy can be validated before real trades.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-005,Trade Execution,"As a System, I want to save real and simulated trades into trades.db so that we can track performance over time.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-006,Trade Execution,"As a Trader, I want to see execution confirmation in the UI after a trade is sent so that I know the action succeeded.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-007,Trade Execution,"As a System, I want to retry pyautogui click up to 3 times if the Moomoo window fails so that execution is resilient.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-008,Trade Execution,"As a Bot, I want to cancel trade execution if stop loss is hit so that I protect the remaining capital.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-009,Trade Execution,"As a Bot, I want to verify float, volume, and GPT score before executing so that I follow the strategy conditions.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-010,Trade Execution,"As a System, I want to store the PnL in the DB with a link to the original order so that reporting is accurate.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-011,Trade Execution,"As a Bot, I want to calculate and apply Moomoo’s fee structure during simulation so that the results are realistic.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-012,Trade Execution,"As a Trader, I want to review open and closed trades in the interface so that I track active and completed positions.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-013,Trade Execution,"As a Bot, I want to record the execution mode (manual or auto) for each trade so that behavior can be analyzed later.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-014,Trade Execution,"As a System, I want to generate logs in case of pyautogui misalignment so that we can debug missed executions.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-015,Trade Execution,"As a Bot, I want to block orders on tickers priced under $1 when real trading is enabled so that we avoid loss due to high fees.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-016,Trade Execution,"As a Bot, I want to use execution confirmation pixel color on screen to validate order sent so that trade is only confirmed when UI matches.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-017,Trade Execution,"As a Trader, I want to see estimated gain or loss before confirming manual execution so that I can make informed decisions.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-018,Trade Execution,"As a Bot, I want to limit total capital exposure per trade based on configuration so that I manage risk appropriately.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-019,Trade Execution,"As a System, I want to send a Telegram alert when a trade is executed so that remote monitoring is enabled.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-020,Trade Execution,"As a System, I want to create daily reports of all executed orders and their PnL so that performance tracking is centralized.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-021,Trade Execution,"As a Bot, I want to simulate both entry and exit of a position within the same day so that I mimic intraday strategies.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-022,Trade Execution,"As a Bot, I want to re-execute missed orders if bot was interrupted so that opportunities are not lost.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-EXEC-023,Trade Execution,"As a System, I want to update trade journal with timestamps of entry and exit so that lifecycle of a position is recorded.","- [ ] Action completed successfully
- [ ] Logged in file or DB
- [ ] UI feedback or simulation confirmed
- [ ] Conditions respected",executer_ordre_moomoo.py,High,To Do,Yes,USER_STORIES_TRADE_EXECUTION.xlsx
US-TG-001,Telegram Notifications,"As a Bot, I want to send a Telegram alert when a high-score ticker is added to the watchlist so that the trader can be notified in real time.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-002,Telegram Notifications,"As a System, I want to log every Telegram message sent with its content and timestamp so that we can audit communication events.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-003,Telegram Notifications,"As a Bot, I want to send an alert when a trade (simulated or real) is executed so that trade activity is tracked instantly.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-004,Telegram Notifications,"As a Bot, I want to summarize all trades of the day and send them via Telegram after market close so that performance is monitored.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-005,Telegram Notifications,"As a System, I want to notify the user if GPT scoring failed for any ticker so that errors are visible and actionable.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-006,Telegram Notifications,"As a Trader, I want to enable or disable Telegram alerts from the interface so that I control my notifications.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-007,Telegram Notifications,"As a Bot, I want to send an alert when capital exposure exceeds the configured limit so that financial risk is communicated.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-008,Telegram Notifications,"As a System, I want to retry Telegram message delivery up to 3 times in case of failure so that important alerts are not lost.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-009,Telegram Notifications,"As a Bot, I want to send a screenshot of the detected breakout pattern for a ticker so that the user sees the technical setup visually.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-010,Telegram Notifications,"As a Bot, I want to send a specific emoji-based message when a trade reaches +100% simulated gain so that strong trades are highlighted.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-011,Telegram Notifications,"As a Bot, I want to group multiple ticker alerts into a single message so that Telegram isn’t spammed with too many messages.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-012,Telegram Notifications,"As a System, I want to track delivery success/failure status of each Telegram message so that technical issues can be debugged.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-013,Telegram Notifications,"As a Trader, I want to configure the Telegram chat ID and token via UI settings so that I can change my destination easily.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-014,Telegram Notifications,"As a Bot, I want to send a startup notification when the bot is launched so that the user knows it's running.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-015,Telegram Notifications,"As a Bot, I want to notify if no opportunity was found during a scan window so that the user understands inactivity.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-016,Telegram Notifications,"As a System, I want to pause Telegram alerts during silent mode hours (ex. 00:00–07:00) so that night notifications are suppressed.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-017,Telegram Notifications,"As a Bot, I want to send a warning when a ticker is removed due to invalid data so that cleansing actions are transparent.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-018,Telegram Notifications,"As a System, I want to log all critical alerts in a separate 'alert.log' file so that emergency tracking is centralized.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-019,Telegram Notifications,"As a Bot, I want to send a Telegram alert if Moomoo window is not detected for trade execution so that the user can fix the issue.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-TG-020,Telegram Notifications,"As a Trader, I want to see in the UI a log of the latest 20 Telegram messages sent so that I know what was already communicated.","- [ ] Message sent or logged
- [ ] Format correct
- [ ] Status visible
- [ ] Triggered at right moment",telegram_notify.py,High,To Do,Yes,USER_STORIES_TELEGRAM_NOTIFICATIONS.xlsx
US-UI-001,Streamlit UI,"As a Trader, I want to view the full watchlist in a structured table with scores and origins so that I can prioritize trades visually.","- [ ] Feature accessible via UI
- [ ] Input or feedback shown
- [ ] Integrated with backend
- [ ] Errors handled",streamlit/app.py,High,To Do,Yes,USER_STORIES_STREAMLIT_UI.xlsx
US-UI-002,Streamlit UI,"As a UI User, I want to see a dynamic chart next to each ticker so that I can evaluate price movement easily.","- [ ] Feature accessible via UI
- [ ] Input or feedback shown
- [ ] Integrated with backend
- [ ] Errors handled",streamlit/app.py,High,To Do,Yes,USER_STORIES_STREAMLIT_UI.xlsx
US-UI-003,Streamlit UI,"As a Trader, I want to trigger manual ticker import from the sidebar so that I can add symbols on the fly.","- [ ] Feature accessible via UI
- [ ] Input or feedback shown
- [ ] Integrated with backend
- [ ] Errors handled",streamlit/app.py,High,To Do,Yes,USER_STORIES_STREAMLIT_UI.xlsx
US-UI-004,Streamlit UI,"As a UI User, I want to filter the watchlist by score, float, or volume so that I focus only on qualifying tickers.","- [ ] Feature accessible via UI
- [ ] Input or feedback shown
- [ ] Integrated with backend
- [ ] Errors handled",streamlit/app.py,High,To Do,Yes,USER_STORIES_STREAMLIT_UI.xlsx
US-UI-005,Streamlit UI,"As a Trader, I want to manually launch GPT scoring from the interface so that I can re-evaluate recent tickers.","- [ ] Feature accessible via UI
- [ ] Input or feedback shown
- [ ] Integrated with backend
- [ ] Errors handled",streamlit/app.py,High,To Do,Yes,USER_STORIES_STREAMLIT_UI.xlsx
US-UI-006,Streamlit UI,"As a UI User, I want to open or collapse detailed panels for each ticker so that I see only the relevant information.","- [ ] Feature accessible via UI
- [ ] Input or feedback shown
- [ ] Integrated with backend
- [ ] Errors handled",streamlit/app.py,High,To Do,Yes,USER_STORIES_STREAMLIT_UI.xlsx
